Batsman,degree_centrality,Team
RG Sharma,8.194059371,MI
Q de Kock,14.01528942,MI
SA Yadav,14.88453918,MI
SS Tiwary,3.281717737,MI
HH Pandya,7.944503805,MI
KA Pollard,9.833156952,MI
KH Pandya,3.355652188,MI
JL Pattinson,0.492996033,MI
RD Chahar,0.09733027,MI
TA Boult,0,MI
JJ Bumrah,0.177053824,MI
Ishan Kishan,15.38879743,MI
NM Coulter-Nile,0.834844781,MI
DS Kulkarni,0.105745506,MI
M Vijay,1.064330228,CSK
SR Watson,8.627165039,CSK
F du Plessis,13.04256584,CSK
AT Rayudu,10.80321012,CSK
RA Jadeja,7.381066646,CSK
SM Curran,5.892955357,CSK
MS Dhoni,5.457995646,CSK
RD Gaikwad,6.677002447,CSK
KM Jadhav,2.122125269,CSK
N Jagadeesan,1.403319701,CSK
DL Chahar,0.23148987,CSK
SN Thakur,0.351907233,CSK
Imran Tahir,0.464200652,CSK
DJ Bravo,0.168474453,CSK
PP Shaw,6.081736201,DC
S Dhawan,18.19531202,DC
SO Hetmyer,5.862853847,DC
SS Iyer,14.74696118,DC
RR Pant,8.738269975,DC
AR Patel,3.334965693,DC
MP Stoinis,10.03363876,DC
R Ashwin,1.299107915,DC
A Nortje,0.253646954,DC
AM Rahane,3.774360465,DC
K Rabada,2.119676477,DC
TU Deshpande,0.698964119,DC
HV Patel,0.569789393,DC
AT Carey,1.278125703,DC
P Dubey,0.269580356,DC
DR Sams,0,DC
KL Rahul,21.80654724,PBKS
MA Agarwal,14.17075888,PBKS
KK Nair,0.629887178,PBKS
N Pooran,10.98226471,PBKS
GJ Maxwell,3.194157824,PBKS
SN Khan,1.231082544,PBKS
K Gowtham,1.627405312,PBKS
CJ Jordan,1.068957809,PBKS
Mandeep Singh,3.924762141,PBKS
CH Gayle,9.539051844,PBKS
DJ Hooda,4.531176695,PBKS
M Ashwin,0.115319953,PBKS
JDS Neesham,0.452429326,PBKS
Ravi Bishnoi,0.269385102,PBKS
Mohammed Shami,0.082092808,PBKS
P Simran Singh,0.379364373,PBKS
Mujeeb Ur Rahman,0.048804295,PBKS
SS Cottrell,0,PBKS
Arshdeep Singh,0,PBKS
Shubman Gill,13.84200912,KKR
RA Tripathi,6.790703607,KKR
N Rana,11.31162007,KKR
T Banton,0.279732053,KKR
KD Karthik,5.082836986,KKR
EJG Morgan,13.93879186,KKR
PJ Cummins,5.437351906,KKR
Kuldeep Yadav,0.471953152,KKR
LH Ferguson,1.571839226,KKR
SP Narine,3.789031422,KKR
AD Russell,3.401689712,KKR
KL Nagarkoti,0.660878292,KKR
Shivam Mavi,0.317750136,KKR
CV Varun,0.273303317,KKR
NS Naik,0.04214075,KKR
M Prasidh Krishna,0.056737589,KKR
RK Singh,0.33978418,KKR
D Padikkal,13.99306217,RCB
AJ Finch,8.381650756,RCB
Gurkeerat Singh,2.665419548,RCB
V Kohli,14.65838794,RCB
JR Philippe,2.444954538,RCB
AB de Villiers,14.53288152,RCB
S Dube,3.507715312,RCB
CH Morris,1.000454902,RCB
Washington Sundar,3.291732706,RCB
I Udana,0.416356725,RCB
Mohammed Siraj,0.474883955,RCB
Shahbaz Ahmed,0.042973786,RCB
UT Yadav,0,RCB
NA Saini,0.881747074,RCB
DW Steyn,0.031887755,RCB
YS Chahal,0.015943878,RCB
MM Ali,0.36165395,RCB
DA Warner,16.70781495,SRH
WP Saha,7.799931261,SRH
JM Bairstow,9.728016205,SRH
MK Pandey,13.79260613,SRH
Abdul Samad,3.411897355,SRH
V Shankar,3.282316562,SRH
JO Holder,1.977108206,SRH
PK Garg,4.377003098,SRH
Rashid Khan,1.252028828,SRH
Sandeep Sharma,0.362918178,SRH
KK Ahmed,0,SRH
KS Williamson,10.21973865,SRH
Abhishek Sharma,2.288775016,SRH
S Nadeem,0.266850279,SRH
T Natarajan,0.137435192,SRH
B Kumar,0,SRH
MR Marsh,0,SRH
Mohammad Nabi,0.358897404,SRH
SP Goswami,0,SRH
YBK Jaiswal,1.206655373,RR
SPD Smith,9.915135786,RR
SV Samson,10.99411985,RR
RV Uthappa,5.897201246,RR
R Tewatia,8.298867814,RR
R Parag,3.176702143,RR
TK Curran,2.937538458,RR
JC Archer,4.090328517,RR
JC Buttler,10.87854102,RR
MK Lomror,2.01954408,RR
AJ Tye,0.197173842,RR
S Gopal,1.017806845,RR
Kartik Tyagi,0.125510643,RR
VR Aaron,0.027624309,RR
JD Unadkat,0.294927497,RR
AS Rajpoot,0.308630024,RR
BA Stokes,9.304407634,RR
