Bowlers,degree_centrality,Team
TA Boult,7.51816,MI
JL Pattinson,2.3957,MI
JJ Bumrah,10.69104,MI
KH Pandya,1.2171,MI
RD Chahar,3.82596,MI
DS Kulkarni,0,MI
NM Coulter-Nile,1.30728,MI
KA Pollard,1.0032,MI
J Yadav,0.3827,MI
DL Chahar,3.13374,CSK
SM Curran,4.61414,CSK
L Ngidi,5.4529,CSK
PP Chawla,2.97138,CSK
RA Jadeja,1.00054,CSK
SN Thakur,4.12372,CSK
KV Sharma,1.5607,CSK
DJ Bravo,1.07304,CSK
Imran Tahir,0.46036,CSK
JR Hazlewood,0.10396,CSK
MJ Santner,0.79988,CSK
Monu Kumar,0,CSK
A Nortje,8.55534,DC
MM Sharma,0.81802,DC
K Rabada,13.20256,DC
R Ashwin,5.4468,DC
AR Patel,2.23024,DC
MP Stoinis,3.81598,DC
TU Deshpande,0.73962,DC
HV Patel,0.57256,DC
DR Sams,0,DC
A Mishra,1.8315,DC
I Sharma,0,DC
P Dubey,0,DC
Avesh Khan,0,DC
SS Cottrell,2.19538,PBKS
Mohammed Shami,6.81422,PBKS
CJ Jordan,2.7857,PBKS
K Gowtham,0.37404,PBKS
Ravi Bishnoi,3.32802,PBKS
Arshdeep Singh,2.5846,PBKS
M Ashwin,2.0975,PBKS
JDS Neesham,0.21424,PBKS
CH Gayle,0,PBKS
GJ Maxwell,0.60846,PBKS
Harpreet Brar,0,PBKS
DJ Hooda,0,PBKS
Mujeeb Ur Rahman,0,PBKS
PJ Cummins,3.11028,KKR
M Prasidh Krishna,1.02418,KKR
CV Varun,8.40256,KKR
LH Ferguson,1.71566,KKR
KL Nagarkoti,0.67472,KKR
SP Narine,1.21134,KKR
Shivam Mavi,2.66574,KKR
AD Russell,2.2781,KKR
Kuldeep Yadav,0.00906,KKR
S Sandeep Warrier,0,KKR
N Rana,0,KKR
CJ Green,0,KKR
CH Morris,3.32648,RCB
Mohammed Siraj,2.91642,RCB
NA Saini,0.89922,RCB
I Udana,2.49438,RCB
YS Chahal,8.42148,RCB
Washington Sundar,2.93934,RCB
DW Steyn,0.012,RCB
Shahbaz Ahmed,1.52594,RCB
UT Yadav,0,RCB
S Dube,1.05746,RCB
A Zampa,1.27846,RCB
MM Ali,0.49142,RCB
Sandeep Sharma,7.16812,SRH
JO Holder,3.66324,SRH
S Nadeem,1.44062,SRH
T Natarajan,2.92806,SRH
Rashid Khan,6.5862,SRH
KK Ahmed,2.3397,SRH
Abhishek Sharma,0.8319,SRH
V Shankar,1.41454,SRH
Basil Thampi,0.3391,SRH
B Kumar,1.26734,SRH
Abdul Samad,0.0231,SRH
DA Warner,0,SRH
MR Marsh,0,SRH
S Kaul,0.84044,SRH
KS Williamson,0,SRH
Mohammad Nabi,0,SRH
JD Unadkat,0.8506,RR
JC Archer,9.20812,RR
S Gopal,4.16478,RR
TK Curran,0.58916,RR
R Tewatia,3.30678,RR
VR Aaron,0,RR
Kartik Tyagi,2.5318,RR
AJ Tye,0.83424,RR
AS Rajpoot,0.74364,RR
R Parag,0,RR
BA Stokes,0.98794,RR
