,DL Chahar,SM Curran,L Ngidi,PP Chawla,RA Jadeja,Sandeep Sharma,JO Holder,S Nadeem,T Natarajan,Rashid Khan,CH Morris,DW Steyn,Washington Sundar,Mohammed Siraj,YS Chahal,SS Cottrell,Mohammed Shami,Ravi Bishnoi,K Gowtham,JDS Neesham,S Sandeep Warrier,Shivam Mavi,PJ Cummins,SP Narine,AD Russell,Kuldeep Yadav,AS Rajpoot,S Gopal,JC Archer,Kartik Tyagi,TK Curran,R Tewatia,GJ Maxwell,Arshdeep Singh,CJ Jordan,M Ashwin,DJ Hooda,JR Hazlewood,Imran Tahir,SN Thakur,CJ Green,M Prasidh Krishna,CV Varun,K Rabada,A Nortje,AR Patel,R Ashwin,HV Patel,MP Stoinis,P Dubey,S Kaul,Abdul Samad,KS Williamson,I Udana,NA Saini,A Zampa,DR Sams
RG Sharma,0.21246458923512748,0.1724137931034483,0.061919504643962855,0.0,0.0,0.10982976386600768,0.07049700387733521,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10228435049437437,0.23916292974588937,0.4468560485157996,0.3469812630117974,0.35144973013681435,0.18487394957983194,0.17426662794074935,0.6068348770360907,0.2824858757062147,0.4985754985754986,0.6796116504854369,0.44221698113207547,0.1650846058605035,0.04688232536333802,0.2697400686611084,0.0,0.0,0.1218026796589525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.2247191011235955,0.46040515653775327,0.5524861878453038,0.27932960893854747,0.19543973941368079,0.3170458784035808,0.0,0.13144922773578704,0.17,0.0,0.0,0.0,0.22695035460992907,0.0,0.0,0.0
Q de Kock,1.0269121813031161,0.034482758620689655,0.9287925696594428,0.07317965605561655,0.0657030223390276,0.4736408566721581,0.14099400775467041,0.0,0.14539110206455363,0.09760858955588092,0.041684035014589414,0.4640371229698376,0.28836911246395386,0.0,0.06666666666666667,0.0,0.22421524663677128,0.09575486753909991,0.0,0.0,0.01680672268907563,0.21783328492593668,0.31938677738741617,0.0,0.46296296296296297,0.0,0.2653301886792453,0.08254230293025175,0.3984997655883732,0.012260912211868563,0.0,0.0,0.1218026796589525,0.4036697247706422,0.017439832577607253,0.4145408163265306,0.17391304347826086,0.0,0.2844950213371266,0.7895640233436321,0.13,0.449438202247191,0.32228360957642727,1.43646408839779,0.47271164589600345,0.7166123778501629,0.38542832276513744,0.44323218547562226,0.03286230693394676,0.08,0.6687785990848293,0.2604166666666667,0.12,0.19858156028368795,0.0,0.0,0.15
SA Yadav,0.017705382436260624,0.20689655172413793,0.0,0.07317965605561655,0.2628120893561104,0.37067545304777594,0.21149101163200562,0.16133369185264856,0.14539110206455363,0.4880429477794046,0.41684035014589416,0.7347254447022429,0.16020506247997437,0.7196833393306945,1.1111111111111112,0.3068530514831231,0.0,0.03191828917969997,0.0,0.0,0.2689075630252101,0.20331106593087425,0.031938677738741615,0.6053268765133172,0.03561253561253561,0.3883495145631068,0.41273584905660377,0.5984316962443252,0.6563525550867324,0.7356547327121138,0.5797901711761458,0.38828097423226265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11510128913443832,0.5248618784530387,0.365277180919639,0.8469055374592834,1.5292801193584484,0.2727582679849983,0.42720999014130795,0.05,0.36958817317845827,0.0,0.0,0.0,0.0,0.0,0.06
SS Tiwary,0.141643059490085,0.1724137931034483,0.6811145510835914,0.18294914013904134,0.2792378449408673,0.0,0.0,0.026888948642108095,0.0,0.0,0.0,0.0,0.06408202499198974,0.035984166966534725,0.044444444444444446,0.0,0.0,0.0,0.0,0.0,0.05042016806722689,0.0,0.44714148834238265,0.0,0.0,0.12944983818770228,0.029481132075471695,0.28889806025588116,0.3516174402250352,0.07356547327121138,0.0,0.2823861630780092,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HH Pandya,0.0,0.0,0.0,0.036589828027808274,0.21353482260183967,0.5354200988467874,0.0,0.0,0.37801686536783946,0.09760858955588092,0.3334722801167153,0.038669760247486466,0.06408202499198974,0.0,0.17777777777777778,0.0,0.1046337817638266,0.19150973507819982,0.16192458940550544,0.21338019329735158,0.0,0.05808887598024978,0.9262216544235069,0.0,0.017806267806267807,0.0,1.0318396226415094,0.08254230293025175,0.5157055789967183,0.7356547327121138,0.3036996134732192,0.03529827038475115,0.0,0.0,0.034879665155214505,0.03188775510204082,0.0,0.0,0.0,0.0,0.06,0.0,0.04604051565377532,0.8287292817679557,0.27932960893854747,0.0,0.0,0.0,0.03286230693394676,0.0,0.0,0.0,0.0,0.0,0.02190580503833516,0.2553916004540295,0.1
KA Pollard,0.0,0.1724137931034483,0.061919504643962855,0.32930845225027444,0.0657030223390276,0.5766062602965404,0.12336975678533661,0.05377789728421619,1.1049723756906078,0.19521717911176184,0.16673614005835766,0.0,0.0,0.0,0.8888888888888888,0.0,0.47832585949177875,0.28726460261729975,0.46264168401572986,0.025103552152629598,0.0,0.3194888178913738,0.0,0.0,0.07122507122507123,0.0,0.0,0.12381345439537762,0.0,0.0,0.0,0.0,0.0,0.47706422018348627,1.0115102895012207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027624309392265192,0.6875805758487323,0.0,0.0,0.0,0.0985869208018403,0.0,0.03519887363604365,0.0,0.0,0.19858156028368795,0.08762322015334063,1.70261066969353,0.0
KH Pandya,0.0,0.0,0.0,0.036589828027808274,0.0657030223390276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2222222222222222,0.0,0.0,0.047877433769549956,0.0,0.0,0.0,0.0,0.0,0.0,0.03561253561253561,0.0,0.0,0.041271151465125874,0.07032348804500704,0.024521824423737126,0.0,0.3529827038475115,0.194884287454324,0.03669724770642202,0.24415765608650156,0.44642857142857145,0.021739130434782608,0.0,0.0,0.0,0.0,0.0,0.0,0.16574585635359115,0.42973785990545765,0.0,0.03729951510630362,0.0,0.14788038120276042,0.0,0.703977472720873,0.0,0.0,0.0,0.0,0.0,0.03
JL Pattinson,0.0,0.1724137931034483,0.18575851393188855,0.0,0.0,0.0,0.10574550581600281,0.0,0.02907822041291073,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RD Chahar,0.03541076487252125,0.0,0.061919504643962855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TA Boult,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
