,M Vijay,SR Watson,F du Plessis,AT Rayudu,RA Jadeja,SM Curran,MS Dhoni,DA Warner,WP Saha,JR Philippe,D Padikkal,V Kohli,AB de Villiers,S Dube,Gurkeerat Singh,CH Morris,Washington Sundar,Shubman Gill,SP Narine,KD Karthik,N Rana,EJG Morgan,AD Russell,NS Naik,PJ Cummins,Shivam Mavi,Kuldeep Yadav,YBK Jaiswal,SPD Smith,JC Buttler,SV Samson,MK Lomror,TK Curran,R Tewatia,JC Archer,S Gopal,AS Rajpoot,KL Rahul,MA Agarwal,CH Gayle,N Pooran,GJ Maxwell,DJ Hooda,CJ Jordan,RD Gaikwad,N Jagadeesan,DL Chahar,SN Thakur,Imran Tahir,RA Tripathi,PP Shaw,AM Rahane,S Dhawan,SS Iyer,MP Stoinis,AT Carey,RR Pant,SO Hetmyer,HV Patel,R Ashwin,P Dubey,K Rabada,JM Bairstow,MK Pandey,KS Williamson,PK Garg,Abhishek Sharma,Abdul Samad,Rashid Khan,Sandeep Sharma,RV Uthappa,BA Stokes,AJ Finch,AR Patel,DR Sams,degree_centrality
TA Boult,0.0,0.19794,0.28039,0.0,0.14928,0.11695,0.0,0.0,0.0,0.0,0.31883,0.0,0.0,0.0,0.0,0.02428,0.0,0.28959,0.0,0.0,0.0,0.0,0.0,0.00073,0.0,0.0,0.0,0.02637,0.0,0.0,0.27167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01816,0.14528,0.0,0.0,0.0,0.0,0.13559,0.36854,0.13633,0.36826,0.0,0.19502,0.0,0.0,0.11139,0.0,0.0237,0.0,0.0,0.2032,0.0,0.19597,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18161,0.0,0.0,3.7590800000000004
JL Pattinson,0.01844,0.0,0.0,0.0,0.0,0.0,0.0,0.27679,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0625,0.0,0.0,0.0,0.0,0.0,0.08625,0.0,0.0,0.0,0.18769,0.21073,0.0,0.0,0.0,0.0,0.0,0.0,0.00619,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2349,0.0,0.0,0.0,0.0,0.0,0.0,0.11436,0.0,0.0,0.0,0.0,1.19785
JJ Bumrah,0.0,0.0,0.0,0.23292,0.0,0.12336,0.0,0.0,0.0,0.0,0.3363,0.35283,0.0,0.09433,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29167,0.1374,0.0,0.0,0.0,0.0,0.0,0.23009,0.0,0.0,0.0,0.0,0.20073,0.08541,0.02233,0.0,0.92556,0.29716,0.0,0.50492,0.0,0.0,0.0,0.0,0.0249,0.0,0.0,0.0,0.0,0.0,0.0,0.38843,0.31891,0.41141,0.0,0.20785,0.0,0.01071,0.0,0.0,0.03786,0.0,0.0,0.0,0.0,0.04614,0.0643,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.34552
KH Pandya,0.0,0.0,0.0,0.0,0.11398,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05205,0.0,0.23087,0.0,0.0,0.15046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06119,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6085499999999999
RD Chahar,0.0,0.0,0.0,0.20756,0.0,0.0,0.11402,0.0,0.0,0.05485,0.0,0.3144,0.0,0.0,0.0,0.0,0.0,0.27219,0.0,0.1914,0.0,0.0,0.0,0.0,0.0,0.0058,0.0,0.0,0.0,0.0,0.0,0.03755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1823,0.0,0.06065,0.0,0.0,0.0,0.0,0.00478,0.0,0.0,0.0,0.0,0.0,0.0,0.28418,0.1833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9129800000000001
DS Kulkarni,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NM Coulter-Nile,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23574,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21863,0.12359,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06762,0.0,0.65364
KA Pollard,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24377,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04669,0.0,0.5015999999999999
J Yadav,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19135
,RG Sharma,Q de Kock,SA Yadav,SS Tiwary,HH Pandya,KA Pollard,KH Pandya,JL Pattinson,RD Chahar,TA Boult,JJ Bumrah,YBK Jaiswal,SPD Smith,SV Samson,RV Uthappa,R Tewatia,R Parag,TK Curran,JC Archer,RA Tripathi,Shubman Gill,N Rana,SP Narine,EJG Morgan,AD Russell,KD Karthik,PJ Cummins,KL Nagarkoti,Shivam Mavi,CV Varun,KL Rahul,MA Agarwal,CH Gayle,N Pooran,Mandeep Singh,DJ Hooda,JDS Neesham,CJ Jordan,PP Shaw,AM Rahane,S Dhawan,SS Iyer,MP Stoinis,AT Carey,AR Patel,SN Khan,GJ Maxwell,DA Warner,JM Bairstow,MK Pandey,KS Williamson,PK Garg,Abhishek Sharma,Abdul Samad,Ishan Kishan,D Padikkal,AJ Finch,V Kohli,AB de Villiers,Washington Sundar,S Dube,V Shankar,Rashid Khan,S Nadeem,Sandeep Sharma,T Natarajan,BA Stokes,JC Buttler,RK Singh,RR Pant,MM Ali,CH Morris,Gurkeerat Singh,degree_centrality
DL Chahar,0.0,0.0,0.26589,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02337,0.0,0.24079,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10888,0.06042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18011,0.0,0.0,0.0,0.03877,0.0,0.0,0.0,0.16097,0.0,0.28201,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18414,0.0,0.0,0.0,0.0,0.02152,0.0,1.56687
SM Curran,0.0,0.26185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18828,0.0,0.0,0.16425,0.05621,0.0,0.0,0.0,0.0,0.0,0.0,0.23866,0.0,0.08788,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26096,0.0,0.01812,0.0,0.0,0.0,0.27765,0.0,0.23563,0.0,0.0,0.0,0.0,0.0,0.0,0.15675,0.28871,0.0,0.06536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00676,0.0,0.0,2.30707
L Ngidi,0.0,0.0,0.0,0.0,0.0,0.29222,0.10483,0.01304,0.0,0.0,0.0,0.0,0.0,0.42105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3293,0.0,0.42856,0.0,0.0,0.0,0.0,0.0,0.0,0.67999,0.43663,0.0,0.0,0.0,0.0,0.02083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.72645
PP Chawla,0.18209,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25801,0.0,0.0,0.0,0.0,0.0,0.0,0.11251,0.0,0.33727,0.0,0.0,0.0,0.0,0.0,0.0,0.29461,0.0,0.0,0.17948,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.48569
RA Jadeja,0.0,0.0,0.0,0.04957,0.14553,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16709,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00508,0.0,0.0,0.0,0.0,0.50027
SN Thakur,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24883,0.0,0.0,0.0,0.05597,0.0,0.0,0.0,0.0,0.0,0.37699,0.0,0.0,0.41132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16757,0.0,0.0,0.0,0.0,0.0,0.0,0.23458,0.0,0.0,0.0,0.0,0.0,0.27396,0.0,0.0,0.2734,0.0,0.0,0.0,0.01924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0618600000000002
